127.0.0.1 - - [13/Jan/2018:08:13:12 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:08:13:17 +0800] "GET /airticket1/toEditUser.do HTTP/1.1" 200 8157
127.0.0.1 - - [13/Jan/2018:08:13:17 +0800] "GET /airticket1/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:17 +0800] "GET /airticket1/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:17 +0800] "GET /airticket1/images/idcard.jpg HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:17 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:08:13:17 +0800] "GET /airticket1/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:17 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:08:13:20 +0800] "GET /airticket1/listAdvice.do?userid=1 HTTP/1.1" 200 5345
127.0.0.1 - - [13/Jan/2018:08:13:20 +0800] "GET /airticket1/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:20 +0800] "GET /airticket1/css/main.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:20 +0800] "GET /airticket1/js/jquery.min.js HTTP/1.1" 404 1005
127.0.0.1 - - [13/Jan/2018:08:13:20 +0800] "GET /airticket1/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:20 +0800] "GET /assets/js/vendor/jquery.min.js HTTP/1.1" 404 1011
127.0.0.1 - - [13/Jan/2018:08:13:20 +0800] "GET /airticket1/bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
127.0.0.1 - - [13/Jan/2018:08:13:22 +0800] "GET /airticket1/toAddAdvice.do HTTP/1.1" 200 4472
127.0.0.1 - - [13/Jan/2018:08:13:22 +0800] "GET /airticket1/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
